<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Saipa-a,13800216,268.86,293,259,272.79,55879
Saipa-a,13800217,272.79,273,270,272.79,99962
Saipa-a,13800218,273.63,280,274,274.55,241949
Saipa-a,13800219,280.32,288,275,274.55,415588
Saipa-a,13800222,279.49,288,276,287.77,23538
Saipa-a,13800223,289.28,293,288,288.69,127297
Saipa-a,13800225,292.04,293,289,288.69,102172
Saipa-a,13800226,288.69,293,289,288.61,62860
Saipa-a,13800229,288.77,289,288,287.85,26226
Saipa-a,13800230,287.85,288,280,280.32,26034
Saipa-a,13800231,282.83,285,283,282.83,34546
Saipa-a,13800302,284.42,284,282,284.34,16305
Saipa-a,13800305,284.34,293,284,291.62,16990
Saipa-a,13800306,289.86,290,284,284.51,27728
Saipa-a,13800307,284.34,285,283,283.42,35706
Saipa-a,13800308,283.67,284,280,283.34,5596
Saipa-a,13800309,283.08,285,280,284.26,33550
Saipa-a,13800312,284.17,284,284,284.09,15079
Saipa-a,13800313,281.08,284,278,284.09,45834
Saipa-a,13800316,283.92,284,280,280.32,9593
Saipa-a,13800319,280.32,280,278,279.99,4332
Saipa-a,13800321,279.90,282,280,282.00,27198
Saipa-a,13800322,280.32,282,280,282.00,16469
Saipa-a,13800323,280.32,280,276,280.41,18069
Saipa-a,13800326,280.16,280,277,280.16,8865
Saipa-a,13800327,276.14,279,274,278.65,75439
Saipa-a,13800328,278.65,279,276,275.97,10467
Saipa-a,13800329,275.30,278,272,278.40,39421
Saipa-a,13800330,275.97,276,268,276.14,38538
Saipa-a,13800402,276.14,276,276,276.14,16285
Saipa-a,13800403,276.14,276,276,276.14,8556
Saipa-a,13800404,275.97,276,276,276.14,14654
Saipa-a,13800405,276.22,280,276,276.22,9456
Saipa-a,13800406,276.22,280,276,276.22,16015
Saipa-a,13800409,276.22,276,276,276.22,2059
Saipa-a,13800410,275.97,280,275,280.32,73895
Saipa-a,13800411,280.24,280,280,280.24,9462
Saipa-a,13800412,280.16,280,280,280.32,30498
Saipa-a,13800413,279.99,280,276,276.14,15980
Saipa-a,13800416,276.31,276,276,276.14,17431
Saipa-a,13800417,276.14,279,276,277.81,7520
Saipa-a,13800418,277.81,278,276,276.98,6316
Saipa-a,13800419,276.98,277,276,277.39,10203
Saipa-a,13800420,277.39,277,276,276.89,29481
Saipa-a,13800423,276.14,277,276,276.89,9570
Saipa-a,13800424,276.72,279,275,278.65,218087
Saipa-a,13800612,264.42,265,264,263.59,30703
Saipa-a,13800613,261.83,262,250,254.22,176977
Saipa-a,13800614,251.04,254,243,254.22,263539
Saipa-a,13800617,254.13,254,251,251.04,45891
Saipa-a,13800618,250.87,251,244,251.04,49955
Saipa-a,13800619,251.04,251,247,250.53,111676
Saipa-a,13800620,247.69,251,243,250.53,1093029
Saipa-a,13800621,249.11,249,248,248.11,3411
Saipa-a,13800624,247.52,248,243,246.85,18994
Saipa-a,13800625,246.85,247,246,246.35,1334
Saipa-a,13800626,241.83,245,234,244.34,48391
Saipa-a,13800627,241.66,242,242,241.66,6490
Saipa-a,13800628,240.91,241,238,238.48,46700
Saipa-a,13800631,238.48,241,238,238.48,13183
Saipa-a,13800701,234.22,238,230,237.48,14741
Saipa-a,13800702,236.56,237,230,234.30,52918
Saipa-a,13800703,233.38,233,227,233.38,7833
Saipa-a,13800704,226.94,233,226,233.46,48772
Saipa-a,13800707,230.03,230,230,230.12,3620
Saipa-a,13800708,229.28,230,222,229.28,93953
Saipa-a,13800710,228.94,229,229,229.11,5133
Saipa-a,13800711,228.78,229,226,228.78,28554
Saipa-a,13800714,227.61,228,226,225.93,51130
Saipa-a,13800715,225.76,227,224,226.68,16961
Saipa-a,13800716,224.26,227,222,226.52,6152
Saipa-a,13800717,226.52,227,226,226.27,9382
Saipa-a,13800718,225.01,226,225,225.51,80530
Saipa-a,13800721,225.43,225,225,225.43,4405
Saipa-a,13800722,222.17,225,221,225.43,69943
Saipa-a,13800724,225.35,225,224,225.09,105878
Saipa-a,13800725,225.09,226,225,225.93,154492
Saipa-a,13800728,225.93,226,225,225.93,74202
Saipa-a,13800729,225.76,230,226,226.43,110635
Saipa-a,13800730,226.85,234,227,234.30,91786
Saipa-a,13800801,240.16,245,235,243.09,114019
Saipa-a,13800802,247.69,248,243,243.09,143995
Saipa-a,13800805,243.67,244,243,242.67,122190
Saipa-a,13800806,241.83,242,240,240.16,44527
Saipa-a,13800807,240.16,240,234,234.47,152720
Saipa-a,13800808,234.72,240,234,234.30,150172
Saipa-a,13800809,239.99,240,234,234.47,92676
Saipa-a,13800812,235.97,240,234,234.30,90062
Saipa-a,13800813,234.38,235,234,234.30,253693
Saipa-a,13800814,234.30,236,234,234.55,547593
Saipa-a,13800815,235.97,243,236,242.58,1524090
Saipa-a,13800816,243.67,254,240,251.20,522363
Saipa-a,13800819,251.20,254,247,251.04,260621
Saipa-a,13800820,249.45,249,244,246.85,79570
Saipa-a,13800821,245.60,251,246,249.53,96297
Saipa-a,13800822,250.70,251,247,247.69,109105
Saipa-a,13800823,248.11,250,247,248.86,108691
Saipa-a,13800826,248.52,249,248,247.69,86168
Saipa-a,13800827,247.44,248,247,247.69,38290
Saipa-a,13800828,247.44,249,247,248.52,39453
Saipa-a,13800829,248.52,249,248,247.69,42670
Saipa-a,13800830,247.69,248,248,247.69,32831
Saipa-a,13800903,247.69,248,247,247.69,32248
Saipa-a,13800904,247.02,248,247,246.85,47308
Saipa-a,13800905,246.01,246,243,242.67,35031
Saipa-a,13800906,239.82,242,238,241.24,29791
Saipa-a,13800907,239.65,240,238,239.07,32787
Saipa-a,13800910,236.81,239,237,238.90,9353
Saipa-a,13800911,238.90,239,238,238.40,11795
Saipa-a,13800912,237.81,238,237,238.32,582422
Saipa-a,13800913,237.98,238,238,237.90,507828
Saipa-a,13800914,237.90,239,238,238.40,39148
Saipa-a,13800917,238.40,239,238,238.48,45372
Saipa-a,13800918,238.40,239,236,238.48,31572
Saipa-a,13800919,238.48,240,238,240.16,344983
Saipa-a,13800920,241.83,247,241,242.92,9708
Saipa-a,13800921,246.85,249,244,247.10,90229
Saipa-a,13800924,248.11,248,246,246.77,84058
Saipa-a,13800926,246.27,246,243,242.67,27379
Saipa-a,13800927,244.17,247,244,247.02,51937
Saipa-a,13800928,247.27,249,246,246.01,34471
Saipa-a,13801001,246.01,246,244,243.59,16768
Saipa-a,13801002,242.67,244,242,242.42,17148
Saipa-a,13801003,240.16,240,238,238.40,33118
Saipa-a,13801004,238.23,238,238,238.40,30142
Saipa-a,13801005,238.07,238,236,238.48,49405
Saipa-a,13801016,238.48,238,236,236.31,28440
Saipa-a,13801017,236.22,236,234,235.89,61526
Saipa-a,13801018,234.22,234,226,230.03,75075
Saipa-a,13801022,230.03,236,230,235.89,42916
Saipa-a,13801023,236.14,238,236,235.89,74132
Saipa-a,13801024,236.39,239,236,238.90,25081
Saipa-a,13801029,238.90,251,238,250.78,77959
Saipa-a,13801030,251.87,263,252,259.24,121562
Saipa-a,13801101,258.57,259,251,254.30,306756
Saipa-a,13801102,253.96,254,247,249.78,66614
Saipa-a,13801103,250.11,254,248,250.11,195432
Saipa-a,13801106,249.03,250,247,247.69,48420
Saipa-a,13801107,247.60,248,244,246.85,38426
Saipa-a,13801108,245.18,247,243,246.68,60872
Saipa-a,13801109,244.34,245,243,245.18,55695
Saipa-a,13801110,245.18,245,243,242.67,24135
Saipa-a,13801113,242.83,243,242,241.75,55207
Saipa-a,13801114,240.83,243,238,242.42,80090
Saipa-a,13801115,242.25,244,242,244.34,183456
Saipa-a,13801116,246.85,247,245,245.51,71135
Saipa-a,13801117,245.51,247,245,246.77,187167
Saipa-a,13801120,245.18,247,243,243.59,2143015
Saipa-a,13801121,243.59,244,243,242.67,60961
Saipa-a,13801123,241.83,245,242,242.67,146358
Saipa-a,13801124,242.25,242,239,240.99,5979
Saipa-a,13801127,239.32,241,239,240.91,24873
Saipa-a,13801128,240.91,241,241,240.83,227
Saipa-a,13801129,240.16,240,234,238.82,12972
Saipa-a,13801130,238.99,239,235,238.48,38185
Saipa-a,13801201,238.07,238,234,234.30,27643
Saipa-a,13801205,232.54,233,230,232.54,118862
Saipa-a,13801206,231.79,233,230,231.62,20680
Saipa-a,13801207,230.20,230,230,230.03,44475
Saipa-a,13801227,225.60,226,209,209.20,8725
Saipa-a,13801228,206.27,208,199,208.28,109613
Saipa-a,13810106,208.69,209,209,208.61,1193
Saipa-a,13810107,208.11,208,208,207.94,13195
Saipa-a,13810110,206.85,208,207,206.69,10800
Saipa-a,13810111,202.50,206,202,206.27,16120
Saipa-a,13810114,205.01,207,205,206.69,25345
Saipa-a,13810117,209.20,209,207,209.28,8682
Saipa-a,13810118,214.22,215,211,215.05,16992
Saipa-a,13810119,215.47,222,215,221.75,26547
Saipa-a,13810120,223.42,226,223,225.93,43550
Saipa-a,13810121,226.77,228,225,225.09,22078
Saipa-a,13810124,225.09,226,225,225.01,36899
Saipa-a,13810125,225.01,225,225,225.09,18960
Saipa-a,13810126,224.09,225,222,223.67,37203
Saipa-a,13810127,220.91,221,218,220.49,49179
Saipa-a,13810128,219.66,221,220,220.83,50514
Saipa-a,13810131,220.07,221,218,220.91,34991
Saipa-a,13810201,220.74,221,218,220.41,32950
Saipa-a,13810202,219.15,220,219,218.90,4255
Saipa-a,13810203,218.40,219,213,213.38,36448
Saipa-a,13810204,213.30,216,213,213.38,66221
Saipa-a,13810207,213.38,218,212,218.40,147001
Saipa-a,13810208,213.55,218,214,218.48,14965
Saipa-a,13810209,220.66,222,220,221.75,4663
Saipa-a,13810210,222.42,224,222,222.75,16809
Saipa-a,13810211,223.00,223,223,222.58,15892
Saipa-a,13810214,221.50,222,219,221.33,43404
Saipa-a,13810215,217.56,221,218,220.07,119412
Saipa-a,13810216,218.40,220,213,219.66,103687
Saipa-a,13810217,213.38,218,211,217.56,41159
Saipa-a,13810218,218.40,219,217,219.15,62986
